id	label	x	y	cluster	weight<Links>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1096	"chen, bo"	1.1576	0.0654	3	2	2	2	10.7584	2025.5	1	5.3792
1158	"chen, wei"	-0.373	0.0472	2	3	2	0	0	2026	0	0
2941	"huang, wei"	0.345	-0.2315	4	1	4	7	13.4233	2025.5	1.75	3.3558
4044	"li, peng"	-0.8145	-0.2909	1	1	3	1	1.3407	2025.3333	0.3333	0.4469
4088	"li, xiang"	-0.229	0.4461	2	1	4	0	0	2026	0	0
4340	"liu, qi"	-0.0385	0.0545	2	3	2	0	0	2026	0	0
7886	"wang, yu"	-1.1045	-0.096	1	2	3	0	0	2026	0	0
8058	"wu, di"	0.6704	-0.0354	4	2	2	11	59.171	2026	5.5	29.5855
8345	"yang, jie"	0.3652	-0.0674	4	3	3	12	64.5502	2026	4	21.5167
8346	"yang, jin"	1.1632	-0.0975	3	2	2	2	10.7584	2026	1	5.3792
8643	"zhai, guangtao"	-1.0428	0.0542	1	2	2	0	0	2026	0	0
8679	"zhang, hang"	-0.2178	0.2737	2	3	2	0	0	2026	0	0
8800	"zhang, xueyan"	0.9568	-0.0232	3	3	2	2	10.7584	2026	1	5.3792
9024	"zhou, yu"	-0.8381	-0.0993	1	4	3	0	0	2026	0	0
