"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Temor L.; Husain Z.; Coppin P.","Temor, Lucas (57354833700); Husain, Zainab (59842462100); Coppin, Peter (57189184374)","57354833700; 59842462100; 57189184374","A cross-modal UX design pedagogy for industrial design","2022","ACM International Conference Proceeding Series","","","","195","198","2","10.1145/3561212.3561241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139821050&doi=10.1145%2F3561212.3561241&partnerID=40&md5=1ce04792055373584bb7894c317e1201","Conference paper","Final","","Scopus","2-s2.0-85139821050"
"Hamlet C.","Hamlet, Claire (56531914500)","56531914500","Health Psychology Consultancy in Digital Health","2025","The Palgrave Handbook of Consultancy in Health Psychology","","","","243","266","1","10.1007/978-3-031-94529-8_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031034386&doi=10.1007%2F978-3-031-94529-8_13&partnerID=40&md5=87989991dac6a6276e60ddce2ffe7fbd","Book chapter","Final","","Scopus","2-s2.0-105031034386"
"Evans A.; Hernández C.A.H.; Yeung H.L.; Park A.J.; Hwang E.; Fenuta A.","Evans, Aiden (60055006300); Hernández, César Antonio Hernández (60194323200); Yeung, Hoi Ling (60194323300); Park, Andrew J. (58948386500); Hwang, Eunju (56862821500); Fenuta, Alyssa (55546649500)","60055006300; 60194323200; 60194323300; 58948386500; 56862821500; 55546649500","Virtual Reality Campus Navigation Incorporating Inclusion, Diversity, Equity, and Accessibility","2026","Lecture Notes in Networks and Systems","1675 LNNS","","","353","369","0","10.1007/978-3-032-07986-2_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021818433&doi=10.1007%2F978-3-032-07986-2_22&partnerID=40&md5=7d5f1de1015e50ea87cf365c671f7535","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105021818433"
"Zhao Y.; Peñuela A.M.; Simperl E.","Zhao, Yihang (58965965400); Peñuela, Albert Meroño (55891390100); Simperl, Elena (23036541000)","58965965400; 55891390100; 23036541000","User Experience in Dataset Search","2025","Communications in Computer and Information Science","2371 CCIS","","","113","130","1","10.1007/978-3-031-83845-3_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006528994&doi=10.1007%2F978-3-031-83845-3_7&partnerID=40&md5=09d05ea1d679f5595e7be6770c7b2997","Conference paper","Final","","Scopus","2-s2.0-105006528994"
"Nurhudatiana A.; Caesarion A.S.","Nurhudatiana, Arfika (54912091600); Caesarion, Alixia Shafira (57223320503)","54912091600; 57223320503","Exploring User Experience of Massive Open Online Courses (MOOCs): A Case Study of Millennial Learners in Jakarta, Indonesia","2020","ACM International Conference Proceeding Series","","","","44","49","12","10.1145/3383923.3383968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105599978&doi=10.1145%2F3383923.3383968&partnerID=40&md5=7b6bb5986e191e585a2ae8d48af9bc86","Conference paper","Final","","Scopus","2-s2.0-85105599978"
"Del Aguila M.; Añape J.I.; Rada L.C.","Del Aguila, Maritza (59547930700); Añape, Jorge I. (59547541000); Rada, Luis C. (59548118500)","59547930700; 59547541000; 59548118500","Systematic Review on Mobile Application Interface Design for the Visually Impaired Community","2024","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","","","323","","","0","10.18687/LEIRD2024.1.1.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217237952&doi=10.18687%2FLEIRD2024.1.1.323&partnerID=40&md5=a4545f0393f3b5be4c8cf3054f104904","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217237952"
"Motti V.G.","Motti, Vivian Genaro (25958343600)","25958343600","Designing emerging technologies for and with neurodiverse users","2019","SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication","","","11","","","55","10.1145/3328020.3353946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074783965&doi=10.1145%2F3328020.3353946&partnerID=40&md5=579d4c933f1713cb675fcb8129541d63","Conference paper","Final","","Scopus","2-s2.0-85074783965"
"Carter J.; Walden L.","Carter, Joyce (57198881843); Walden, Laura (57219725707)","57198881843; 57219725707","Lighting the user experience: A new perspective on studying the user experience in a lab that controls light color, temperature, and intensity","2020","SIGDOC 2020 - Proceedings of the 38th ACM International Conference on Design of Communication","","","3416752","","","0","10.1145/3380851.3416752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094952319&doi=10.1145%2F3380851.3416752&partnerID=40&md5=44e7857c72b734ff3e53c888650e6aea","Conference paper","Final","","Scopus","2-s2.0-85094952319"
"Caicedo-López A.; Psicologia P.G.-G.","Caicedo-López, Andrés (57214229692); Psicologia, Paulina Guerra-Guerra (60479417100)","57214229692; 60479417100","Diagnosis of User Experience (UX) and Accessibility in Traditional Recruitment Tools: Foundations for the Future Implementation of Gamified Processes","2025","ETCM 2025 - 9th Ecuador Technical Chapters Meeting","","","","","","0","10.1109/ETCM67548.2025.11304306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032532121&doi=10.1109%2FETCM67548.2025.11304306&partnerID=40&md5=45b89b11349e509eed694729b56e6381","Conference paper","Final","","Scopus","2-s2.0-105032532121"
"Oudor I.; Nafil K.","Oudor, Ilhame (60404187600); Nafil, Khalid (56741515900)","60404187600; 56741515900","The Evolving Role of Large Language Models in UX Design: A Bibliometric Analysis Study","2025","SITA 2025 - 15th International Conference on Intelligent Systems: Theories and Applications","","","","","","0","10.1109/SITA67914.2025.11273744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030477129&doi=10.1109%2FSITA67914.2025.11273744&partnerID=40&md5=2f58615feb7cd938b8b6dd0f60324540","Conference paper","Final","","Scopus","2-s2.0-105030477129"
"Shalamova N.","Shalamova, Nadya (57192257391)","57192257391","Beyond cultural dimensions: Digital inclusion in global UX","2019","SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication","","","23","","","3","10.1145/3328020.3353923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074763696&doi=10.1145%2F3328020.3353923&partnerID=40&md5=f5d24439adf7a46515f83541806be9ed","Conference paper","Final","","Scopus","2-s2.0-85074763696"
"Kamińska D.; Zwoliński G.; Laska-Leśniewicz A.","Kamińska, Dorota (57204348301); Zwoliński, Grzegorz (14013610900); Laska-Leśniewicz, Anna (57217675574)","57204348301; 14013610900; 57217675574","Usability Testing of Virtual Reality Applications—The Pilot Study","2022","Sensors","22","4","1342","","","81","10.3390/s22041342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124232757&doi=10.3390%2Fs22041342&partnerID=40&md5=ff5d61827dfcd4d494eb1ff1ab1ba2d4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124232757"
"Kim H.; Woo J.; Hyun K.H.","Kim, Hwan (55148213900); Woo, Jongbum (57875212800); Hyun, Kyung Hoon (56236871600)","55148213900; 57875212800; 56236871600","PlicAR: Enhancing Online Product Evaluation and Shopping Experience through an Augmented Reality Based 3D Model Visualization Service; [PlicAR: 증강현실 기반 3D 모형 구축 기술을 통한 온라인 쇼핑 경험 증진]","2022","Archives of Design Research","35","3","","181","195","0","10.15187/adr.2022.08.35.3.181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137289301&doi=10.15187%2Fadr.2022.08.35.3.181&partnerID=40&md5=72cc89e491fa52f10131760d5ff020cc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137289301"
