"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Wu Z.; Yang Z.; Yang Z.; Chen Z.; Shang L.; Yang F.","Wu, Zheng (57979286100); Yang, Zhuochu (60387699700); Yang, Zhuoyuan (58370155100); Chen, Zihao (58397672500); Shang, Li (58968840200); Yang, Fan (55857436000)","57979286100; 60387699700; 58370155100; 58397672500; 58968840200; 55857436000","ChatArch: A Knowledge-driven Graph-of-thought LLM Framework for Processor Architecture Optimization","2026","ACM Transactions on Design Automation of Electronic Systems","31","2","25","","","0","10.1145/3774888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030072011&doi=10.1145%2F3774888&partnerID=40&md5=fe03e06496a0787cef730be1c94dba03","Behavioral research; Computer aided design; Efficiency; Integrated circuit design; Intelligent agents; Iterative methods; Multi agent systems; Reduced instruction set computing; Architecture designs; Architecture optimization; Language model; Large language model; Micro architectures; Multi agent; Optimisations; Performance; Processor architectures; Processor design; Optimization","Article","Final","","Scopus","2-s2.0-105030072011"
"Schoene D.; Roessler M.; Pleul K.; Hoehne S.; Trabitzsch A.; Barnett D.; Guenzel A.; Huttner H.B.; Sedlmayr M.; Günther A.; Barlinn K.","Schoene, Daniela (57222589180); Roessler, Martin (57205476926); Pleul, Konrad (57204697412); Hoehne, Sepp (60335112000); Trabitzsch, Anne (57193685385); Barnett, Daniela (58893839200); Guenzel, Andreas (60335142000); Huttner, Hagen B. (7003370696); Sedlmayr, Martin (56043034300); Günther, Albrecht (8122363500); Barlinn, Kristian (35763717200)","57222589180; 57205476926; 57204697412; 60335112000; 57193685385; 58893839200; 60335142000; 7003370696; 56043034300; 8122363500; 35763717200","Automated screening for clinically ascertained loss of cerebral functions in patients with severe brain injury—study protocol for a cluster-randomized interventional trial","2026","Trials","27","1","39","","","0","10.1186/s13063-025-09354-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027582061&doi=10.1186%2Fs13063-025-09354-z&partnerID=40&md5=5363869af30ae12fce69ef94bd2efbf9","Automation; Brain Death; Brain Injuries; Decision Support Systems, Clinical; Germany; Humans; Intensive Care Units; Multicenter Studies as Topic; Predictive Value of Tests; Prospective Studies; Randomized Controlled Trials as Topic; Time Factors; Tissue and Organ Procurement; adult; Article; brain death; brain function; brain injury; cerebral perfusion pressure; clinical assessment; clinical trial; cluster analysis; computed tomographic angiography; controlled study; female; follow up; Glasgow coma scale; hospital mortality; hospitalization; human; intensive care unit; intracranial pressure; major clinical study; male; multicenter study; organ donor; protocol; pupil reflex; randomized controlled trial; Richmond Agitation Sedation Scale; screening; sensitivity analysis; automation; brain death; clinical decision support system; diagnosis; Germany; multicenter study (topic); pathophysiology; predictive value; prospective study; randomized controlled trial (topic); therapy; time factor; transplantation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027582061"
"Mukhiyadin A.; Akmoldina A.; Tainova K.; Abdrahmanov D.","Mukhiyadin, Ainur (57979512100); Akmoldina, Anara (60422327400); Tainova, Karlygash (60433065600); Abdrahmanov, Darkhan (60432961200)","57979512100; 60422327400; 60433065600; 60432961200","Design and implementation of an interface architecture for automated IoT device testing platforms","2026","Energy Informatics","9","1","28","","","0","10.1186/s42162-026-00629-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031699901&doi=10.1186%2Fs42162-026-00629-6&partnerID=40&md5=7c2868a68b1a4f7b9fc0a90062b519d1","Architecture; Automation; Computer architecture; Data visualization; Internet of things; Network architecture; Network protocols; Systems analysis; Asynchronous communication; Automated testing; Communication interface; Design and implementations; Device testing; Interface architecture; IoT architecture; Modulars; Real time monitoring; Testing platforms; Scalability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031699901"
"Youwai S.; Phim D.; Murcia V.G.; Onas R.C.","Youwai, Sompote (6506776482); Phim, David (59982885000); Murcia, Vianne Gayl (59982950400); Onas, Rianne Clair (59982950500)","6506776482; 59982885000; 59982950400; 59982950500","Large language model-based multi-agent systems for automated foundation design: router-driven task classification and expert selection framework","2026","AI in Civil Engineering","5","1","5","","","0","10.1007/s43503-026-00088-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031562721&doi=10.1007%2Fs43503-026-00088-8&partnerID=40&md5=24692d3ebfbce25e27341e9ea7747a74","Automation; Computer aided design; Computer aided engineering; Computer architecture; Engineering research; Foundations; Intelligent agents; Multi agent systems; Piles; Routers; Safety engineering; Soil mechanics; Agent systems; Assisted engineering; Based multi; Expert selection; Foundation design; Geotechnical; Language model; Large language model; Multiagent systems (MASs); Task classification; Geotechnical engineering","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031562721"
"Fulla J.; Larenas F.; Saldivia D.; Ibañez H.; Elorrieta V.; Sanchez C.; Salvadó J.A.","Fulla, Juan (36058710800); Larenas, Francisca (58222270300); Saldivia, Diego (58237338500); Ibañez, Helga (57221208301); Elorrieta, Vicente (57998831100); Sanchez, Catherine (23480324600); Salvadó, José A. (9241266900)","36058710800; 58222270300; 58237338500; 57221208301; 57998831100; 23480324600; 9241266900","Automated intrarenal pressure control in flexible ureteroscopy using an integrated ureteroscope pressure measurement and fluid management system: first-in‐human use","2026","World Journal of Urology","44","1","45","","","0","10.1007/s00345-025-06127-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024795942&doi=10.1007%2Fs00345-025-06127-w&partnerID=40&md5=0a5c5b3dac7bda7bfcb42679ce931357","Adult; Aged; Equipment Design; Female; Humans; Kidney; Kidney Calculi; Male; Middle Aged; Pressure; Prospective Studies; Ureteral Calculi; Ureteroscopes; Ureteroscopy; adult; aged; clinical trial; devices; equipment design; female; human; kidney; male; middle aged; multicenter study; nephrolithiasis; pathophysiology; pressure; procedures; prospective study; surgery; ureter stone; ureteroscope; ureteroscopy","Article","Final","","Scopus","2-s2.0-105024795942"
"Li J.; Feng J.; Luo J.; Jiang B.; Zheng X.; Song Q.; Lv J.; Butler K.; Liu H.; Xie C.; Xie Y.; Ma Y.","Li, Jiaxiang (59551200300); Feng, Junwei (57207942161); Luo, Jie (59376992100); Jiang, Bowen (57216951359); Zheng, Xiangyu (59938505100); Song, Qigang (60147199000); Lv, Jian (57200581837); Butler, Keith (55423351000); Liu, Hanyu (36081944800); Xie, Congwei (55871493500); Xie, Yu (24482701000); Ma, Yanming (55498453500)","59551200300; 57207942161; 59376992100; 57216951359; 59938505100; 60147199000; 57200581837; 55423351000; 36081944800; 55871493500; 24482701000; 55498453500","Self-optimizing machine learning potential assisted automated workflow for highly efficient complex systems material design","2026","npj Computational Materials","12","1","101","","","0","10.1038/s41524-026-01971-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031427104&doi=10.1038%2Fs41524-026-01971-9&partnerID=40&md5=c78426575b1bac1bd89ca5424a3cc8f7","Beryllium compounds; Complex networks; Crystal structure; Large scale systems; Learning systems; Machine learning; Molecular physics; Neural networks; Phosphorus compounds; Potential energy; Structural design; Structures (built objects); Ab initio; Automated workflow; Complex materials; Configurational spaces; Crystal structure prediction; Interatomic potential; Learning potential; Machine-learning; Materials design; Self-optimizing; Functional materials","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031427104"
"Yoshida M.; Duangchinda V.; Ruangrit N.","Yoshida, Masami (56957470500); Duangchinda, Vorasuang (56958522700); Ruangrit, Nammon (56422510800)","56957470500; 56958522700; 56422510800","AI-Supported Learning in Online Discussion Forums: A Scoping Review","2026","Electronic Journal of e-Learning","24","1","","19","35","0","10.34190/ejel.24.1.4409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028211049&doi=10.34190%2Fejel.24.1.4409&partnerID=40&md5=7e5a0178cafb9829acc35b5b2f00af3b","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028211049"
"Sakai M.; Sakai T.; Watariguchi T.; Kawabata A.; Shirai M.; Kakimoto M.; Hirao Y.; Ohtsu F.","Sakai, Mikiyasu (58730782900); Sakai, Takamasa (57145764100); Watariguchi, Toshitaka (58732001100); Kawabata, Atsushi (36800503900); Shirai, Mana (60345633800); Kakimoto, Mitsumi (60345492800); Hirao, Yuki (59461167300); Ohtsu, Fumiko (56618085800)","58730782900; 57145764100; 58732001100; 36800503900; 60345633800; 60345492800; 59461167300; 56618085800","Effectiveness of an antimicrobial stewardship program using an automated antimicrobial surveillance system based on indication for antimicrobial administration","2026","Journal of Pharmaceutical Health Care and Sciences","12","1","9","","","0","10.1186/s40780-025-00528-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028299840&doi=10.1186%2Fs40780-025-00528-0&partnerID=40&md5=1f2d93e5d4b2ece478fde8511042a84f","carbapenem; aged; antimicrobial stewardship; Article; comparative study; controlled study; drug efficacy; drug indication; drug surveillance program; drug use; female; Gram negative infection; health care facility; health care planning; hematologic malignancy; human; information processing; major clinical study; male; multicenter study; short course treatment; treatment duration; treatment outcome; trend study","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028299840"
"Abdo Fawaz M.; Farid Ayad A.; Shaheen M.; Mahmoud H.; Al-Samieh M.F.","Abdo Fawaz, Mostafa (60397331500); Farid Ayad, Ahmed (57195589313); Shaheen, Mohammed (56465555400); Mahmoud, Hesham (60079937000); Al-Samieh, M.F. (60137007100)","60397331500; 57195589313; 56465555400; 60079937000; 60137007100","Simulation based design tool for radial turbine rotors","2026","Journal of Engineering and Applied Science","73","1","52","","","0","10.1186/s44147-026-00908-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030152775&doi=10.1186%2Fs44147-026-00908-9&partnerID=40&md5=b35d9679af07c726ec4a79a51cc9cfd2","Aerodynamics; Energy efficiency; Energy utilization; Machine design; One dimensional; Optimization; Rotors; Turbine components; Aerodynamic efficiency; Critical component; Design tool; Energy; Integrated optimization; Performance; Radial turbines; Simulation-based designs; Turbine rotor; Turbocharging systems; Computational fluid dynamics","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030152775"
"Pugliese R.; Kourousias G.; Venier F.; Garlatti Costa G.","Pugliese, Roberto (7006876862); Kourousias, George (22934940800); Venier, Francesco (56926777200); Garlatti Costa, Grazia (57211443962)","7006876862; 22934940800; 56926777200; 57211443962","Agentic publications: redesigning scientific publishing in the age of thinking large language models","2026","Journal of Documentation","82","7","","125","149","0","10.1108/JD-07-2025-0207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030305247&doi=10.1108%2FJD-07-2025-0207&partnerID=40&md5=35e9666b7e66cdd994b75a88d07a0414","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105030305247"
