"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Khan Q.; Al-Dayel I.; Khan M.A.; Khan M.","Khan, Qaisar (59430674900); Al-Dayel, Ibrahim (57210289746); Khan, Meraj Ali (58998070000); Khan, Majid (27168890200)","59430674900; 57210289746; 58998070000; 27168890200","Surface plasmon resonance enhances the photonic spin hall shift at four-level atomic system","2026","Quantum Information Processing","25","2","47","","","0","10.1007/s11128-026-05059-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029030118&doi=10.1007%2Fs11128-026-05059-7&partnerID=40&md5=de425458a58ad98e677fbcdf6a19ee0e","Dielectric devices; Dielectric materials; Digital storage; Interface states; Magnetic storage; Refractive index; Silver; Spin Hall effect; Delectric medium; Dielectric medium; Diving field; Four-level atomic system; High refractive; Metal surfaces; Silver metal; Spin hall shift; Surface-plasmon resonance; Transverse displacements; Surface plasmon resonance","Article","Final","","Scopus","2-s2.0-105029030118"
"Gai D.; Yu S.; Yao Z.; Zhao L.; Huo L.; Zhang J.; Wang C.","Gai, Di (58573794600); Yu, Shengjie (58623256600); Yao, Zhipeng (58573906600); Zhao, Lingkang (60362774100); Huo, Lin (59942366700); Zhang, Jiaming (57215312509); Wang, Chudi (59895315500)","58573794600; 58623256600; 58573906600; 60362774100; 59942366700; 57215312509; 59895315500","Mechanisms of interlaminar strength enhancement in CFRP bending beams via Double-Double laminate optimization: Effects of ply sequence and orientation","2026","Composites Part B: Engineering","314","","113439","","","0","10.1016/j.compositesb.2026.113439","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028988107&doi=10.1016%2Fj.compositesb.2026.113439&partnerID=40&md5=9d43b37fd5b97d0fcff217e1e99b6989","Bending (forming); Bending strength; Bending tests; Carbon fiber reinforced plastics; Carbon fibers; Crack propagation; Debonding; Laminates; Matrix algebra; Rigidity; Shear flow; Stiffness; Strain; Stress analysis; Stress concentration; Structural optimization; Angle difference; Bending beam; Carbon fibre reinforced polymer; Double-double laminate; Inter-laminar shear stress; Interlaminar; Maximum in-plane principal stress; Principal stress; Pure flexural beam; Stacking sequence; Economic and social effects; Shear stress","Article","Final","","Scopus","2-s2.0-105028988107"
"Lu W.; Hu Y.; Ye C.; Lu J.; Petiot J.-F.","Lu, Weihua (55484367700); Hu, Yaxin (60232263200); Ye, Chenyan (60142809000); Lu, Junjian (59470952200); Petiot, Jean-François (7004253877)","55484367700; 60232263200; 60142809000; 59470952200; 7004253877","Digitizing intangible cultural heritage: A vector-to-interaction protocol for Yangzhou embroidery revitalization","2026","Digital Engineering","9","","100076","","","0","10.1016/j.dte.2025.100076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024480744&doi=10.1016%2Fj.dte.2025.100076&partnerID=40&md5=a80d7734f438383a3a1f99e8d0490d76","Association reactions; Cognitive systems; Human computer interaction; Interactive computer systems; Interactive devices; Mapping; Modal analysis; User interfaces; Audio-visual; Cross-modal; Cross-modal interaction; Cultural heritage digitization; Intangible cultural heritage digitization; Intangible cultural heritages; Kansei Engineering; Vectorized representation; Yangzhou; Yangzhou embroidery; Textile printing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024480744"
"Lee N.-G.; Kim S.-H.","Lee, Nam-Gyu (60335503100); Kim, Seung-Hee (56095328200)","60335503100; 56095328200","An Original Study on Performance-Optimized EMR-to-HL7 FHIR Conversion Using a Lightweight Library","2026","Applied Sciences (Switzerland)","16","3","1346","","","0","10.3390/app16031346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030057977&doi=10.3390%2Fapp16031346&partnerID=40&md5=99ef706e0179ec204b28a056dbcd259e","Computer programming; Data structures; Digital libraries; Electronic health record; Health care; Hospitals; Information management; Interoperability; Medical computing; Metadata; Applications programming interfaces; Conversion methods; Electronic medical record-to-fast healthcare interoperability resource conversion; Fast healthcare interoperability resource interoperability; Healthcare data integration; Healthcare Interoperability; Medical record; Performance; Resource conversion; article; controlled study; data integration; electronic medical record; Fast Healthcare Interoperability Resources; health care personnel; health data; health level 7; human; South Korea; Data integration","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030057977"
"Chan K.K.; Lei S.; Tan L.","Chan, Kwok Keung (60439488200); Lei, Shangzhong (60158648100); Tan, Liang (57195062259)","60439488200; 60158648100; 57195062259","From Object to Companion: Exploring Human-AI Interaction Through the RRZ Interactive Box","2026","Frontiers in Artificial Intelligence and Applications","419","","","223","229","0","10.3233/FAIA251767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032065777&doi=10.3233%2FFAIA251767&partnerID=40&md5=c5cd97d3acb0721974d78683e02c7d5d","Artificial intelligence; Assistive technology; Geriatrics; Human engineering; Information systems; Information use; Interactive computer systems; User interfaces; Computer interaction; Elderly care; Elderly users; Emergency calls; Functionals; Human-AI interaction; Mechanical; Medication management; Multi-modal; Voice interaction; Human computer interaction","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105032065777"
"Amirkhanova G.; Adilkyzy S.; Amirkhanov B.; Baizhanova D.; Chen S.","Amirkhanova, Gulshat (57192719131); Adilkyzy, Shyrailym (60418863500); Amirkhanov, Bauyrzhan (57215412922); Baizhanova, Dina (60418542800); Chen, Siming (56647054000)","57192719131; 60418863500; 57215412922; 60418542800; 56647054000","A Digital Twin Architecture for Integrating Lean Manufacturing with Industrial IoT and Predictive Analytics","2026","Information (Switzerland)","17","2","196","","","0","10.3390/info17020196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031245853&doi=10.3390%2Finfo17020196&partnerID=40&md5=90516cf0946ef7c156f5b0728549b629","Agile manufacturing systems; Bakeries; Constraint theory; Digital twin; Discrete event simulation; Embedded systems; Industrial internet of things (IIoT); Industry 4.0; Lean production; Machine learning; Metadata; Process control; Processed foods; Smart manufacturing; Thermal processing (foods); Bakery manufacturing; Cybe-physical systems; Cyber-physical systems; Data driven; Energy optimization; Google+; Hybrid flow shop; Industrial internet of thing; Machine-learning; Siemens; Cyber Physical System; Predictive analytics","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031245853"
"Arana-Ramos W.; Pastrana-Leon A.F.; Morales-Arevalo J.C.","Arana-Ramos, Wilver (60408051800); Pastrana-Leon, Aldo Francisco (60407321500); Morales-Arevalo, Juan Carlos (59251352300)","60408051800; 60407321500; 59251352300","Blockchain-Based Mobile App for Digital Identification of Older Adults in Rural Peru: Design and Usability Evaluation Study","2026","JMIR Rehabilitation and Assistive Technologies","13","","e79553","","","0","10.2196/79553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030595649&doi=10.2196%2F79553&partnerID=40&md5=18ce8ca18956756b13ad8427334641d5","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030595649"
"Liu Y.; Ai W.; Yuan S.","Liu, Yuan (58243056900); Ai, Weilong (55578704700); Yuan, Shenfang (7403273019)","58243056900; 55578704700; 7403273019","Phase field fracture modelling of crack-clapping induced acoustic nonlinearity","2026","Journal of Sound and Vibration","623","","119538","","","0","10.1016/j.jsv.2025.119538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022640675&doi=10.1016%2Fj.jsv.2025.119538&partnerID=40&md5=e7939c658f7e46ba70fcc5493e78020b","Acoustic wave propagation; Crack propagation; Mesh generation; Numerical methods; Phase interfaces; Structural health monitoring; Ultrasonic devices; Acoustic nonlinearity; Contact acoustic nonlinearities; Crack-clapping; Element method; Fracture model; Length scale; Non-linear ultrasonic; Phase field methods; Phase fields; Remeshing; Ultrasonic testing","Article","Final","","Scopus","2-s2.0-105022640675"
"Peter U.","Peter, Ulrike (58672972900)","58672972900","“Living Knowledge”: Bundling Knowledge, Relieving the Workload of Specialists and Making Processes More Resilient.; [„Living Knowledge“: Wissen bündeln, Fachkräfte entlasten und Prozesse resilienter machen]","2026","ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb","121","1-2","","91","93","0","10.1515/zwf-2026-1023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030476277&doi=10.1515%2Fzwf-2026-1023&partnerID=40&md5=fdd6bb113d865ec3d0d0eb486a55302b","Data handling; Graph structures; Graph theory; Graphic methods; Knowledge graph; Knowledge management; Knowledge transfer; Metadata; Semantic Web; Semantics; Technology transfer; Chatbots; Data sovereignty; Edge computing; Knowledge graphs; Knowledge platform; Living knowledge; Manufacturing digitalization; MES; Shop floor AI; Shopfloors; Edge computing","Article","Final","","Scopus","2-s2.0-105030476277"
"Xiong Y.; Xiong W.; Ye Z.; Al Islam S.; Li J.; Chen W.; Liu Z.; Chen Q.; Kvan T.; Han G.; Hao L.","Xiong, Yuqi (60423981400); Xiong, Wei (57204326360); Ye, Zejiu (58070540100); Al Islam, Shamoon (57220155864); Li, Jianing (58341866800); Chen, Weicong (60423662700); Liu, Zhiying (57211337093); Chen, Qiaoyu (57224907279); Kvan, Thomas (6602870695); Han, Guangchao (16679057900); Hao, Liang (59916394200)","60423981400; 57204326360; 58070540100; 57220155864; 58341866800; 60423662700; 57211337093; 57224907279; 6602870695; 16679057900; 59916394200","Additive Manufacturing and Innovative Design of Multi⁃Material Laser Powder Bed Fusion (Invited); [多 材 料 激 光 粉 末 床 熔 融 增 材 制 造 与 创 新 设 计 研 究（特 邀）]","2026","Zhongguo Jiguang/Chinese Journal of Lasers","53","4","0402309","","","0","10.3788/CJL251527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031426305&doi=10.3788%2FCJL251527&partnerID=40&md5=21b6c4211d195ad2d544492b0d2a8afb","Additives; Bearings (machine parts); Biomedical engineering; Blending; Design for manufacturability; Digital twin; Interfaces (materials); Joining; Powder metals; Product design; Structural design; Wear of materials; Wear resistance; Cross-scale design; Design Methodology; Interface behavior; Laser powders; Multi materials; Multi-material laser powder bed fusion; Performance; Powder bed; Property; Thermal; Biocompatibility","Review","Final","","Scopus","2-s2.0-105031426305"
