"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chen S.; Salleh S.M.; Salleh M.A.M.","Chen, Shi (59937894000); Salleh, Sabariah Mohamed (55974189800); Salleh, Mohd Azul Mohamad (55974608900)","59937894000; 55974189800; 55974608900","Media and information literacy among pre-service teachers: A systematic review of key trends and gaps (2013–2024)","2025","International Journal of Information Management Data Insights","5","2","100348","","","1","10.1016/j.jjimei.2025.100348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007851121&doi=10.1016%2Fj.jjimei.2025.100348&partnerID=40&md5=4b014367e05c5d265b2fa1f1b5bbf057","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007851121"
"Simenec T.S.; Ibrahim S.A.; Gillespie S.; Banegas J.; Ferguson G.M.","Simenec, Tori S. (57220876159); Ibrahim, Salma A. (57960595900); Gillespie, Sarah (57216060436); Banegas, Jasmine (57409492600); Ferguson, Gail M. (55309139600)","57220876159; 57960595900; 57216060436; 57409492600; 55309139600","Feasibility, Acceptability, and Effectiveness Pilot Study of a Culturally Adapted and Digitized Food-Focused Media Literacy Intervention: JUS Media? Global Classroom – Somali American","2025","Journal of Technology in Behavioral Science","10","1","105861","39","50","3","10.1007/s41347-024-00413-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193256807&doi=10.1007%2Fs41347-024-00413-x&partnerID=40&md5=ad97e8bbe831c7e6e608742054b40306","","Article","Final","","Scopus","2-s2.0-85193256807"
"Gu J.; Qiu Y.; Liu J.; Yue Y.; Tong M.; Zeng L.; Yu Y.; Yang F.","Gu, Juan (59743817300); Qiu, Yufei (59165792400); Liu, Jiali (57392787800); Yue, Yake (59743984800); Tong, Mengjie (59743984700); Zeng, Lijuan (58502877700); Yu, Yiqing (58503634500); Yang, Fen (56701359400)","59743817300; 59165792400; 57392787800; 59743984800; 59743984700; 58502877700; 58503634500; 56701359400","Prevalence and influencing factors of digital smart devices use among older adults: a systematic review and meta-analysis","2026","Archives of Gerontology and Geriatrics","140","","106034","","","0","10.1016/j.archger.2025.106034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016855116&doi=10.1016%2Fj.archger.2025.106034&partnerID=40&md5=b18404c2b6a88aa054c775331d25b679","Aged; Educational Status; Female; Humans; Prevalence; Smartphone; aged; aging; anxiety; attitude; behaviour intention; Cochrane Library; data extraction; dementia; demographics; depression; digital divide; education; facilitating conditions; family and intergenerational relationships; health behavior; health literacy; human; instrumental activities of daily living; Internet; marital therapy; Medline; mental health; meta analysis; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; prevalence; professional status; publication bias; quality of life; Review; sensitivity analysis; social media; social support; sociodemographics; systematic review; technology interest; educational status; female; prevalence; smartphone","Review","Final","","Scopus","2-s2.0-105016855116"
"Shah S.; Liu K.R.; Short K.; Lockett C.","Shah, Smita (57203030028); Liu, Kym Rizzo (57772895800); Short, Kathryn (56047247500); Lockett, Catriona (58245738700)","57203030028; 57772895800; 56047247500; 58245738700","Health Hackathon: empowering students as tomorrow’s leaders in health","2025","BMJ Paediatrics Open","9","1","bmjpo-2024-003271","","","1","10.1136/bmjpo-2024-003271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217710425&doi=10.1136%2Fbmjpo-2024-003271&partnerID=40&md5=a02ed6c6fe596c203280fd739572bb62","Article; community; digital technology; health care planning; health literacy; health promotion; human; patient empowerment; physical inactivity; practice guideline; social media; student engagement; vocational education","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217710425"
"Consoli T.; Petko D.","Consoli, Tessa (57923383900); Petko, Dominik (54913843000)","57923383900; 54913843000","Which educational approaches predict students’ generative AI confidence and responsibility?","2025","Computers and Education: Artificial Intelligence","9","","100431","","","8","10.1016/j.caeai.2025.100431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007848197&doi=10.1016%2Fj.caeai.2025.100431&partnerID=40&md5=a3b8653490b446068552294fc70f4bba","Teaching; AI education; Creatives; Digital agency; Digital responsibility; Digital self-efficacy; Educational approach; Generative artificial intelligence; Medium literacy education; Self efficacy; Upper secondary education; Students","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007848197"
"Sharpe B.T.; Spooner R.A.","Sharpe, B.T. (57207985958); Spooner, R.A. (57810975900)","57207985958; 57810975900","Dopamine-scrolling: a modern public health challenge requiring urgent attention","2025","Perspectives in Public Health","145","4","","190","191","4","10.1177/17579139251331914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002952281&doi=10.1177%2F17579139251331914&partnerID=40&md5=386bd605f8f0851f5eaaa27e71d316f9","Behavior, Addictive; Dopamine; Humans; Internet; Mental Health; Public Health; Social Media; dopamine; algorithm; anxiety; Article; attention; behavior; behavioral addiction; behavioural pattern; computer addiction; depression; educational status; engagement; entertainment industry; environment; evolution; health care personnel; human; implementation science; internet addiction; internet literacy; investment; mental disease; mental health; mindfulness; neurobiology; outcome assessment; prevalence; psychological well-being; public health; public policy; reinforcement (psychology); research; reward; self report; social behavior; social interaction; social media; social media addiction; time; uncertainty; vulnerability; wellbeing; addiction; Internet; psychology; social media","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002952281"
"Olawade D.B.; Omeni D.; Gore M.N.; Hadi M.","Olawade, David B. (57219597340); Omeni, Deborah (59932228300); Gore, Manisha Nitin (56677355500); Hadi, Manizha (57193706094)","57219597340; 59932228300; 56677355500; 57193706094","Enhancing qualitative research through virtual focus groups and artificial intelligence: A review","2025","International Journal of Medical Informatics","203","","106004","","","6","10.1016/j.ijmedinf.2025.106004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007430511&doi=10.1016%2Fj.ijmedinf.2025.106004&partnerID=40&md5=cedffa53523cf92be5a8444fd76aca24","Artificial Intelligence; Focus Groups; Humans; Qualitative Research; Ethical technology; Network security; Analysis techniques; Digital qualitative research; Digital technologies; Ethical considerations; Focus groups; Gamification; Group discussions; Online platforms; Qualitative research; Virtual focus group; Article; artificial intelligence; digital technology; exercise; gamification; gene expression; human; information processing; information security; internet literacy; natural language processing; qualitative analysis; qualitative research; role playing; social media; storytelling; thematic analysis; information processing; procedures; qualitative research; Sentiment analysis","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007430511"
"Park Y.; Kang J.","Park, Youngjin (60221202500); Kang, Juyoung (14056159800)","60221202500; 14056159800","Fear of missing out and online scam vulnerability: a sequential interlayering multimethod approach","2026","Telematics and Informatics","105","","102377","","","0","10.1016/j.tele.2026.102377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029444784&doi=10.1016%2Fj.tele.2026.102377&partnerID=40&md5=33d6cefec91b0b5c95ab845a3b8800d8","Artificial intelligence; AI-based scam prevention; Cyber security; Digital ethnography; Digital platforms; Fear of missing out; Human information processing; Hyperpersonal communication; Message framing; Multi-method approach; Online scam vulnerability; Online systems","Article","Final","","Scopus","2-s2.0-105029444784"
"Çakıllı S.Z.; Özkan F.; Çakıllı M.","Çakıllı, Seda Zor (60055936900); Özkan, Feyza (57914026800); Çakıllı, Mustafa (60055621700)","60055936900; 57914026800; 60055621700","Digital health literacy: Hepatitis B information quality on internet platforms","2025","Turkish Journal of Public Health","23","2","","200","206","2","10.20518/tjph.1661314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013809856&doi=10.20518%2Ftjph.1661314&partnerID=40&md5=9b869d79008df4a36b7bcfeecd32b8d6","","Article","Final","","Scopus","2-s2.0-105013809856"
"Denniss E.; Lindberg R.","Denniss, Emily (57216427801); Lindberg, Rebecca (56581442600)","57216427801; 56581442600","Social media and the spread of misinformation: Infectious and a threat to public health","2025","Health Promotion International","40","2","daaf023","","","46","10.1093/heapro/daaf023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002545603&doi=10.1093%2Fheapro%2Fdaaf023&partnerID=40&md5=1816105f8e1b41c86da113e893db4505","Communication; Humans; Information Dissemination; Public Health; Social Media; human; information dissemination; interpersonal communication; procedures; public health; social media","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002545603"
